pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,ll,nll,n_actions,task_id
0.5,0.05,0.1,0.0,0.0,-1527.6294166329074,1527.6294166329074,666,4
0.5,0.2,0.0,0.0,0.0,-1547.811287816443,1547.811287816443,666,4
1.0,0.05,0.1,0.0,0.0,-1562.80419618495,1562.80419618495,666,4
1.0,0.1,0.0,0.0,0.0,-1608.592708799961,1608.592708799961,666,4
1.0,0.2,0.0,0.0,0.0,-1661.3236549995618,1661.3236549995618,666,4
0.0,0.05,0.0,0.0,0.0,-2315.7563097271386,2315.7563097271386,666,4
0.5,0.05,0.0,0.0,0.0,-2317.742225210808,2317.742225210808,666,4
1.0,0.05,0.0,0.0,0.0,-2397.982314605125,2397.982314605125,666,4
0.0,0.1,0.3,0.0,0.0,-200.37543679639768,200.37543679639768,131,5
0.0,0.1,0.1,0.0,0.0,-202.25416946378348,202.25416946378348,131,5
0.0,0.2,0.3,0.0,0.0,-205.4558552171923,205.4558552171923,131,5
0.5,0.1,0.3,0.0,0.0,-208.685530842438,208.685530842438,131,5
0.5,0.1,0.1,0.0,0.0,-209.6187152829455,209.6187152829455,131,5
0.0,0.2,0.1,0.0,0.0,-211.8399935695363,211.8399935695363,131,5
0.5,0.2,0.3,0.0,0.0,-216.4683401162984,216.4683401162984,131,5
0.5,0.2,0.1,0.0,0.0,-222.09057345746155,222.09057345746155,131,5
0.0,0.05,0.3,0.0,0.0,-233.6422928639893,233.6422928639893,131,5
0.5,0.05,0.3,0.0,0.0,-239.46661896673356,239.46661896673356,131,5
1.0,0.2,0.3,0.0,0.0,-255.88087618732513,255.88087618732513,131,5
0.0,0.05,0.1,0.0,0.0,-258.39624294508036,258.39624294508036,131,5
1.0,0.1,0.3,0.0,0.0,-258.73712350876514,258.73712350876514,131,5
0.5,0.05,0.1,0.0,0.0,-263.13157076794033,263.13157076794033,131,5
1.0,0.2,0.1,0.0,0.0,-268.23198520849525,268.23198520849525,131,5
1.0,0.1,0.1,0.0,0.0,-269.27713693259597,269.27713693259597,131,5
1.0,0.05,0.3,0.0,0.0,-275.85654998232764,275.85654998232764,131,5
0.0,0.1,0.0,0.0,0.0,-297.31967402234847,297.31967402234847,131,5
1.0,0.05,0.1,0.0,0.0,-303.55028163170164,303.55028163170164,131,5
0.5,0.1,0.0,0.0,0.0,-319.90369220000986,319.90369220000986,131,5
0.0,0.2,0.0,0.0,0.0,-371.4644324577545,371.4644324577545,131,5
0.5,0.2,0.0,0.0,0.0,-395.7712172331572,395.7712172331572,131,5
1.0,0.1,0.0,0.0,0.0,-536.4822213347411,536.4822213347411,131,5
1.0,0.2,0.0,0.0,0.0,-567.8445451806707,567.8445451806707,131,5
0.0,0.05,0.0,0.0,0.0,-678.8303645180886,678.8303645180886,131,5
0.5,0.05,0.0,0.0,0.0,-697.262879719688,697.262879719688,131,5
1.0,0.05,0.0,0.0,0.0,-831.5853224157264,831.5853224157264,131,5
0.0,0.2,0.0,0.0,0.0,-2390.283278375987,2390.283278375987,1043,6
0.0,0.2,0.1,0.0,0.0,-2395.460286935644,2395.460286935644,1043,6
0.5,0.1,0.0,0.0,0.0,-2398.812894087401,2398.812894087401,1043,6
0.5,0.2,0.1,0.0,0.0,-2402.7948453088534,2402.7948453088534,1043,6
0.5,0.1,0.1,0.0,0.0,-2404.7410339508697,2404.7410339508697,1043,6
0.0,0.1,0.1,0.0,0.0,-2405.601937874574,2405.601937874574,1043,6
0.0,0.2,0.3,0.0,0.0,-2406.4848792665034,2406.4848792665034,1043,6
0.5,0.2,0.0,0.0,0.0,-2412.6284046453657,2412.6284046453657,1043,6
0.0,0.1,0.3,0.0,0.0,-2414.7108731000385,2414.7108731000385,1043,6
0.5,0.2,0.3,0.0,0.0,-2414.8442236253204,2414.8442236253204,1043,6
0.5,0.1,0.3,0.0,0.0,-2417.4802207976472,2417.4802207976472,1043,6
0.0,0.1,0.0,0.0,0.0,-2417.808938976257,2417.808938976257,1043,6
0.5,0.05,0.1,0.0,0.0,-2423.581441587759,2423.581441587759,1043,6
0.0,0.05,0.1,0.0,0.0,-2424.5586422598813,2424.5586422598813,1043,6
0.0,0.05,0.3,0.0,0.0,-2429.9847749188,2429.9847749188,1043,6
