round,rep,step,region,center_dist
1,81,1,15,3.374742788552764
1,81,2,20,4.031128874149275
1,81,3,32,4.301162633521313
1,81,4,4,4.924428900898052
1,81,5,7,7.213269023126754
1,81,6,11,1.7716909687891076
1,81,7,15,3.374742788552764
1,81,8,25,9.280355596635292
1,81,9,8,1.5365907428821477
1,81,10,26,2.213594362117865
1,81,11,0,1.5811388300841898
1,81,12,0,1.5811388300841898
1,82,1,44,4.825971404805461
1,82,2,37,4.250816914952283
1,83,1,15,3.374742788552764
1,83,2,20,4.031128874149275
1,83,3,32,4.301162633521313
1,83,4,44,4.825971404805461
1,83,5,11,1.7716909687891076
1,83,6,34,7.780102827083971
1,83,7,8,1.5365907428821477
1,83,8,0,1.5811388300841898
1,84,1,14,5.5901699437494745
1,84,2,34,7.780102827083971
1,85,1,15,3.374742788552764
1,85,2,20,4.031128874149275
1,85,3,32,4.301162633521313
1,85,4,14,5.5901699437494745
1,85,5,44,4.825971404805461
1,85,6,4,4.924428900898052
1,85,7,37,4.250816914952283
1,85,8,15,3.374742788552764
1,85,9,32,4.301162633521313
1,85,10,27,5.315072906367325
1,86,1,11,1.7716909687891076
1,86,2,8,1.5365907428821477
1,86,3,0,1.5811388300841898
1,87,1,15,3.374742788552764
1,87,2,26,2.213594362117865
1,88,1,15,3.374742788552764
1,88,2,20,4.031128874149275
1,88,3,32,4.301162633521313
1,88,4,44,4.825971404805461
1,88,5,4,4.924428900898052
1,88,6,37,4.250816914952283
1,88,7,15,3.374742788552764
1,88,8,32,4.301162633521313
1,88,9,4,4.924428900898052
1,89,1,15,3.374742788552764
1,89,2,26,2.213594362117865
1,90,1,10,3.0413812651491097
1,90,2,8,1.5365907428821477
1,90,3,0,1.5811388300841898
1,90,4,11,1.7716909687891076
1,90,5,26,2.213594362117865
1,91,1,10,3.0413812651491097
1,91,2,18,5.262551134615649
1,91,3,43,3.905124837953327
1,91,4,38,4.670385423067351
1,91,5,17,3.80058475033046
1,92,1,11,1.7716909687891076
1,92,2,26,2.213594362117865
1,92,3,44,4.825971404805461
1,92,4,34,7.780102827083971
1,93,1,15,3.374742788552764
1,93,2,20,4.031128874149275
1,93,3,32,4.301162633521313
1,93,4,14,5.5901699437494745
1,93,5,44,4.825971404805461
1,93,6,11,1.7716909687891076
1,93,7,37,4.250816914952283
1,93,8,8,1.5365907428821477
1,93,9,0,1.5811388300841898
1,93,10,37,4.250816914952283
1,94,1,15,3.374742788552764
1,94,2,4,4.924428900898052
1,94,3,35,6.800735254367722
1,95,1,15,3.374742788552764
1,95,2,20,4.031128874149275
1,95,3,32,4.301162633521313
1,95,4,44,4.825971404805461
1,95,5,27,5.315072906367325
1,95,6,37,4.250816914952283
1,96,1,10,3.0413812651491097
1,96,2,9,4.374801582802229
1,96,3,39,4.716990566028302
1,96,4,5,6.4031242374328485
1,97,1,10,3.0413812651491097
1,97,2,18,5.262551134615649
1,97,3,43,3.905124837953327
1,97,4,38,4.670385423067351
1,97,5,17,3.80058475033046
1,98,1,10,3.0413812651491097
1,98,2,18,5.262551134615649
1,98,3,43,3.905124837953327
1,98,4,38,4.670385423067351
1,98,5,17,3.80058475033046
1,98,6,37,4.250816914952283
1,99,1,15,3.374742788552764
1,99,2,4,4.924428900898052
1,99,3,35,6.800735254367722
2,0,1,38,2.102379604162864
2,0,2,27,3.0413812651491097
2,1,1,5,3.922867431979939
2,1,2,23,4.257346591481601
2,1,3,28,4.272001872658765
2,1,4,38,2.102379604162864
2,1,5,27,3.0413812651491097
2,1,6,28,4.272001872658765
2,2,1,38,2.102379604162864
2,2,2,1,0.3726779962499656
2,2,3,23,4.257346591481601
2,2,4,27,3.0413812651491097
2,2,5,12,5.60257877132387
2,2,6,28,4.272001872658765
2,2,7,23,4.257346591481601
2,2,8,38,2.102379604162864
2,3,1,15,6.324555320336759
2,3,2,9,8.980882473343028
2,4,1,5,3.922867431979939
2,4,2,23,4.257346591481601
2,4,3,28,4.272001872658765
2,4,4,33,4.83620604284897
2,5,1,5,3.922867431979939
2,5,2,0,4.031128874149275
